license,breed,color,name,zip,expiry,created_at,updated_at
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,LUTECE,15143,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Inter County Transfer - Lifetime,YORKSHIRE TERRIER,BLACK/BROWN,LUTECE,15108,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LAB MIX,BLACK,HUNTER,15108,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Female,VIZSLA,GOLD/RED,Ginger,15142,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,COCKAPOO,BROWN,TOOTSIE,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/BLACK/BROWN,LOU,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BOSTON TERRIER,WHITE/BLACK,SPANKY,15116,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BOSTON TERRIER,WHITE/BLACK,TANK,15116,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,PEEKAPOO,WHITE,MOPSIE,15025,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,WHITE/BLACK/BROWN,APPLE,15025,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,COLLIE MIX,WHITE/TAN,BELAT,15045,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,SIB HUSKY,GREY,KEEGAN,15135,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,SHIBA INU,OTHER,TYCO,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,SPOTTED,SEBASTIAN,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,RAVEN,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Neutered Male,SCHNAUZER MIN,WHITE/BLACK,CHARLIE,15131,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Female,LABRADOR RETRIEVER,YELLOW,LACI,15090,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,SILVER,CEZANNE,15120,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BUSTER BROWN,15106,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,POODLE STANDARD,BLACK,DOTTIE,15229,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Spayed Female,SHIH TZU,WHITE/BEIGE,BELLA,15129,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,BLONDE,ARTHUR,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,BLONDE,GINGER,15084,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHORTHAIR POINT,BROWN,BRAVO,15668,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,ELLIE MAE,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,VIZSLA,RED,HUNTER,15116,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,HOUND MIX,WHITE/BROWN,GEMMA,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,COLLIE MIX,WHITE/BROWN,MOLLIE,15147,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,TAG,WHITE/BLACK,MAGGIE MAY,15214,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,CAV KING CHAR SPANI,SPOTTED,COPPER,15239,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE MIX,BLACK,APRIL,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LHASA APSO MIX,WHITE/BLACK,CHARLIE,15227,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Male,SCOTTISH TERRIER,BLACK,MIKEY,15131,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/BLACK/BROWN,CHAOS,15044,2099,8/12/2023 12:42,8/12/2023 12:42
